Person,Org,Role,Sub-Role,Book Title,Book Author,Book OL id,Book catalog slug,Source Type,Source Title,Source Link,Content,Date
Katie Brown,,Editor,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Charlie Panayiotou,,Management,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Jane Hughes,,Management,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Alice Davis,,Management,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Shyam Kumar,,Management,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Emily-Jane Taylor,,Finance & Accounting,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Jasdip Nandra,,Finance & Accounting,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Afeera Ahmed,,Finance & Accounting,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Elizabeth Beaumont,,Finance & Accounting,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Sue Baker,,Finance & Accounting,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Victor Falola,,Finance & Accounting,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Paul Stark,,Audio,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Amber Bates,,Audio,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Amy Davies,,Marketing,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Anne Goddard,,Contracts,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Paul Bulos,,Contracts,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Jake Alderson,,Contracts,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Claire Keep,,Production,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Fiona McIntosh,,Production,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Lucie Stericker,,Art & Design,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Joanna Ridley,,Art & Design,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Nick May,,Art & Design,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Clare Sivell,,Art & Design,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Alex Layt,,Publicity & Media,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Jen Wilson,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Victoria Laws,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Esther Waters,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Rachael Hum,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Ellie Kyrke-Smith,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Frances Doyle,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Ben Goddard,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Georgina Cutler,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Barbara Ronan,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Andrew Hally,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Dominic Smith,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Maggy Park,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Linda McGregor,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Sinead White,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Jemimah James,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
